time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-03-10T08:04:18.685Z,-30.7157,-179.94,404.692,4.5,mb,35,77,2.274,0.63,us,us7000jirq,2023-03-10T13:21:39.040Z,"Kermadec Islands region",earthquake,14.04,9.533,0.098,31,reviewed,us,us
2023-03-10T04:54:52.788Z,-8.4054,-74.3914,161.778,5,mb,63,104,1.8,0.85,us,us7000jiqc,2023-03-13T13:41:55.040Z,"16 km E of San Fernando, Peru",earthquake,9.4,7.485,0.027,438,reviewed,us,us
2023-03-10T02:28:14.775Z,38.6616,35.3098,5,4.8,mwr,26,61,0.461,0.79,us,us7000jiph,2023-03-11T07:06:51.177Z,"12 km W of Hacılar, Turkey",earthquake,1.75,1.925,0.052,36,reviewed,us,us
2023-03-10T00:58:51.823Z,-6.4281,143.5854,11.61,5,mb,55,89,4.613,0.66,us,us7000jip0,2023-03-10T01:13:40.040Z,"32 km SSW of Mendi, Papua New Guinea",earthquake,7.78,3.812,0.062,83,reviewed,us,us
2023-03-09T19:08:06.992Z,43.2783,12.3152,10,4.6,mb,99,34,0.154,0.78,us,us7000jiky,2023-03-11T14:59:03.996Z,"3 km SSW of Umbertide, Italy",earthquake,4.8,1.858,0.076,52,reviewed,us,us
2023-03-09T17:48:44.939Z,-7.0591,155.815,76.351,5.1,mb,83,29,4.724,0.76,us,us7000jikg,2023-03-09T18:22:08.040Z,"89 km SSE of Panguna, Papua New Guinea",earthquake,5.87,5.088,0.047,149,reviewed,us,us
2023-03-09T17:42:54.008Z,-37.1131,-74.0504,10,4.7,mwr,35,135,0.78,0.64,us,us7000jikf,2023-03-09T19:55:03.040Z,"65 km NNW of Lebu, Chile",earthquake,6.24,1.945,,,reviewed,us,guc
2023-03-09T14:14:08.056Z,34.6466,141.228,36.192,4.6,mb,41,147,1.928,1.05,us,us7000jigd,2023-03-11T00:10:04.336Z,"100 km SE of Katsuura, Japan",earthquake,8.37,7.77,0.074,54,reviewed,us,us
2023-03-09T12:01:36.714Z,17.161,-94.9822,106.412,4.7,mb,39,118,2.863,1.08,us,us7000jifx,2023-03-09T12:17:14.040Z,"8 km ENE of Palomares, Mexico",earthquake,7.94,6.37,0.041,177,reviewed,us,us
2023-03-09T05:40:12.329Z,51.4529,159.8812,10,4.5,mb,37,158,1.746,0.66,us,us7000jiec,2023-03-09T06:12:35.040Z,"192 km SSE of Vilyuchinsk, Russia",earthquake,4.14,1.952,0.102,32,reviewed,us,us
2023-03-09T04:22:46.109Z,15.5577,-92.7906,127.968,4.9,mb,86,75,0.956,0.68,us,us7000jidj,2023-03-13T00:32:18.681Z,"17 km SSW of Nueva Colombia, Mexico",earthquake,6.67,4.7,0.025,502,reviewed,us,us
2023-03-09T02:35:32.103Z,11.9479,-87.9589,10,4.6,mb,31,172,1.349,0.54,us,us7000jicu,2023-03-10T01:52:37.040Z,"103 km SW of Corinto, Nicaragua",earthquake,3.9,1.955,0.058,88,reviewed,us,us
2023-03-09T02:06:51.168Z,51.5074,159.8006,10,5.3,mb,86,121,1.675,0.6,us,us7000jick,2023-03-10T01:40:59.040Z,"184 km SSE of Vilyuchinsk, Russia",earthquake,8.02,1.866,0.043,179,reviewed,us,us
2023-03-09T00:38:54.772Z,38.0204,73.0222,10,4.5,mb,58,60,1.741,0.95,us,us7000jibw,2023-03-09T00:51:40.040Z,"Tajikistan-Xinjiang border region",earthquake,6.85,1.915,0.074,54,reviewed,us,us
2023-03-08T18:32:20.356Z,23.9224,122.638,28.283,4.5,mb,27,106,0.641,0.74,us,us7000ji95,2023-03-08T21:24:51.040Z,"70 km SSW of Yonakuni, Japan",earthquake,5.41,5.806,0.132,17,reviewed,us,us
2023-03-08T16:10:50.325Z,51.5529,159.8524,10,4.9,mww,110,96,1.648,0.76,us,us7000ji6x,2023-03-11T23:08:13.040Z,"182 km SSE of Vilyuchinsk, Russia",earthquake,7.78,1.852,0.089,12,reviewed,us,us
2023-03-08T15:28:50.171Z,-42.832,41.8485,10,4.9,mb,30,53,7.995,0.48,us,us7000ji6q,2023-03-08T15:54:30.040Z,"Prince Edward Islands region",earthquake,13.05,1.891,0.114,24,reviewed,us,us
2023-03-08T13:43:23.060Z,11.4068,141.4394,10,5.4,mww,87,47,3.99,0.58,us,us7000ji58,2023-03-13T13:53:34.576Z,"207 km NNE of Fais, Micronesia",earthquake,7.46,1.594,0.061,26,reviewed,us,us
2023-03-08T12:35:36.200Z,13.9973,145.0448,113.805,4.6,mb,47,107,0.44,0.57,us,us7000ji50,2023-03-09T10:04:52.814Z,"53 km NNE of Yigo Village, Guam",earthquake,12.61,6.21,0.085,42,reviewed,us,us
2023-03-08T10:47:34.117Z,7.4636,126.1062,14.439,4.5,mb,37,116,0.653,0.62,us,us7000ji4k,2023-03-08T11:53:20.211Z,"Mindanao, Philippines",earthquake,7.03,4.802,0.104,27,reviewed,us,us
2023-03-08T08:34:51.823Z,-24.9802,179.9738,495.169,5.3,mb,49,82,4.641,1.39,us,us7000ji42,2023-03-08T08:51:40.040Z,"south of the Fiji Islands",earthquake,9.74,9.086,0.084,51,reviewed,us,us
2023-03-08T07:33:09.652Z,-6.5224,154.9642,59.954,5.8,mww,72,35,3.625,0.84,us,us7000ji38,2023-03-09T07:36:11.759Z,"61 km WSW of Panguna, Papua New Guinea",earthquake,7.73,6.547,0.062,25,reviewed,us,us
2023-03-08T07:32:55.514Z,61.3291,-140.6057,10,4.5,mb,86,41,0.408,1.26,us,us7000ji35,2023-03-08T22:28:53.040Z,"124 km E of McCarthy, Alaska",earthquake,1.3,1.893,0.065,68,reviewed,us,us
2023-03-08T06:03:36.198Z,50.1317,157.4402,36.178,5.6,mww,132,62,2.985,1.14,us,us7000ji2e,2023-03-09T06:08:24.004Z,"111 km ESE of Severo-Kuril’sk, Russia",earthquake,8.22,1.586,0.049,40,reviewed,us,us
2023-03-08T00:11:32.316Z,35.2839,-35.114,10,4.8,mb,37,118,22.216,0.98,us,us7000ji10,2023-03-08T00:27:13.040Z,"northern Mid-Atlantic Ridge",earthquake,13.23,1.915,0.052,115,reviewed,us,us
2023-03-07T20:46:05.565Z,-5.4619,151.7488,72.808,5.3,mww,162,15,1.328,0.86,us,us7000jhz7,2023-03-08T15:20:44.040Z,"136 km SSW of Kokopo, Papua New Guinea",earthquake,6.39,3.023,0.078,16,reviewed,us,us
2023-03-07T20:31:29.060Z,-0.256,124.5363,45.443,5.4,mww,197,28,1.929,0.82,us,us7000jhz2,2023-03-08T20:35:10.906Z,"Molucca Sea",earthquake,5.77,4.042,0.071,19,reviewed,us,us
2023-03-07T16:12:59.784Z,-29.6549,-178.7039,212.68,4.5,mb,58,112,0.788,0.88,us,us7000jjk7,2023-03-13T21:53:28.040Z,"Kermadec Islands, New Zealand",earthquake,13.34,5.828,0.096,32,reviewed,us,us
2023-03-07T15:49:38.851Z,7.6301,-82.4252,10,4.5,mb,89,73,1.177,0.63,us,us7000jhwm,2023-03-13T21:38:17.406Z,"66 km SE of Burica, Panama",earthquake,2.53,1.857,0.069,62,reviewed,us,us
